Category,Item,2017,2018,2019,2020,2021,2022,2023
Total,Total,134242245,176974213,223983882,282515092,372943030,477910166,614756578
By Type of Technical Revenue,Technology Development,47485447,58885455,71773214,88740760,116739293,140108266,179651089
By Type of Technical Revenue,Commissioned Development,40029867,49362634,60129654,73465753,99600809,120362954,161688026
By Type of Technical Revenue,Cooperated Development,7455580,9522821,11643559,15275007,17138484,19745311,17963063
By Type of Technical Revenue,Technology Transfer,14002811,16096954,21888778,23976580,32465629,40015953,28150220
By Type of Technical Revenue,Technical Secrets Transfer,6792785,6868054,7165852,8497844,14387474,19258600,17172062
By Type of Technical Revenue,Patent License Transfer,2922040,4550718,3810624,8157296,9584003,10843211,2237380
By Type of Technical Revenue,Patent Right Transfer,1383493,1692490,8188387,4571110,5242740,5898827,5903432
By Type of Technical Revenue,Patent Application Right Transfer,90058,130087,162206,162062,865065,712923,500391
By Type of Technical Revenue,Computer Software Copyright Transfer,366011,603217,1829127,765616,789610,993253,700864
By Type of Technical Revenue,Exclusive Right Transfer of Integrated Circuit Layout Design,141781,6722,7404,34050,4938,3364,9024
By Type of Technical Revenue,New Species of Plants Patent Right Transfer,121273,70916,122216,97456,202499,101361,120649
By Type of Technical Revenue,New Species of Biology and Medicine Patent Right Transfer,155789,245353,554764,750359,493967,832285,154533
By Type of Technical Revenue,Technology Consultation,4492289,5646121,6141064,11045590,9511586,9666998,12858770
By Type of Technical Revenue,Technology Service,68261698,96345683,124180826,158752162,214226522,287189135,368966858
By Type of Technical Revenue,General Technology Service,66742900,95686432,122954691,158070665,213454236,286137477,367928097
By Type of Technical Revenue,Technology Intermediary,179426,320246,173636,67533,150361,122263,269650
By Type of Technical Revenue,Technology Training,1339371,339005,1052500,613964,621925,929395,769112
By Intellectual Right,Technology Secrets,29912687,34926639,46731818,53812813,63391085,81901970,92074212
By Intellectual Right,Patents,14204704,20945087,30857642,37903761,54402645,72957791,89352420
By Intellectual Right,Inventions Patents,8706940,14363204,17414736,23261556,30618844,48145611,57544709
By Intellectual Right,Utility Model Patents,5313921,6215502,13239858,14274242,23515257,24650254,31365276
By Intellectual Right,Appearance Design Patents,183844,366381,203048,367963,268544,161926,442435
By Intellectual Right,Computer Software,8526746,8793395,12028361,14818532,19522592,18206295,22186476
By Intellectual Right,New Species of Plants,328249,229036,260925,243499,371673,477064,457876
By Intellectual Right,IC Layout Design,533307,378028,497789,1340403,753842,424511,432263
By Intellectual Right,New Species of Biology and Medicine,1197028,1432862,1454721,2839086,2245032,2192915,5193470
By Intellectual Right,Others,78735493,108840079,131114916,169977388,230116586,297864963,398143498
By Technical Field,IT Technology,38607227,45051745,56366799,63239892,84986682,96196349,119855294
By Technical Field,Aviation and Aerospace Technology,4254075,4082361,5403232,4583747,7404529,9131646,13572518
By Technical Field,Advanced Manufacture Technology,15843314,24908842,29517064,41949439,58193317,83423043,116619845
By Technical Field,Biology, Medicine and Medical,7502520,8391509,10579333,17690387,22355590,24429912,34483952
By Technical Field,Advanced Material and Application,5010016,6724306,8711065,12200630,20794696,31070871,38553700
By Technical Field,New Energy and Power Saving,12021350,15400556,28135523,28543702,30090682,47475336,70722407
By Technical Field,Environment Protection and Resource Application Technology,10698894,13269314,16234919,18458047,23745047,26998535,29046121
By Technical Field,Nuclear Application Technology,292010,2660383,1192283,779457,648906,952991,2227058
By Technical Field,Agriculture Technology,4074813,4208292,5002269,7476774,8885729,12129050,16860890
By Technical Field,Modern Traffic,16653203,25427249,20775555,32559757,39556256,48703523,46763385
By Technical Field,Urban Construction and Social Development,19284823,26849657,42065841,55033260,76281596,97398909,126051409
By Social and Economic Objectives,Agriculture, Forestry, Animal Husbandry and Fishery Development,4204404,4689757,5529437,7178247,8613132,11277037,15885295
By Social and Economic Objectives,Industry and Commerce Development,19246645,24484176,31211072,42238960,62274659,75014447,109434765
By Social and Economic Objectives,Energy Production, Distribution and Application,11150576,16276268,22550167,25813656,27116137,46863126,58359592
By Social and Economic Objectives,Infrastructure, Urban and Rural Planning,19033606,30297060,34186555,45092915,60450633,71801519,83595951
By Social and Economic Objectives,Environmental Protection, Ecological Building and Pollution Prevention,10517303,13219134,16520526,16462018,23206472,27099495,33031292
By Social and Economic Objectives,Sanitation Development,4378747,4990593,6486663,12029398,13872474,15367337,18403573
By Social and Economic Objectives,Social Development and Social Service,38821539,41718264,52897407,68363721,87739354,114493539,143755199
By Social and Economic Objectives,Earth and Atmosphere Exploration and Utility,119448,105352,186924,126319,160439,278920,410819
By Social and Economic Objectives,Education Development,717617,1079244,1853943,1922472,1962236,1852751,2277562
By Social and Economic Objectives,Civil Aerospace Exploration and Development,505418,519280,629062,650756,880305,764373,1055587
By Social and Economic Objectives,National Defense,2975035,3906405,4209612,4266412,6758128,7810793,12461846
By Social and Economic Objectives,Other Civil Purpose,20063635,29048652,38765858,43662157,60836405,83264147,111482402
By Social and Economic Objectives,Non-directive Research,2508271,6640029,8956657,14708059,19072655,22022683,24602697
